,City,Total Price,Rupee_per_area(sq-feet),Area,Apartement
36809,Ghaziabad,98.0,4900.0,2000,3.0
36811,Greater Noida,51.89,4850.0,1070,2.0
36812,Greater Noida,78.72,4700.0,1675,3.0
36813,Greater Noida,67.7,4299.0,1575,3.0
36814,Greater Noida,76.21,5293.0,1440,3.0
36816,Greater Noida,37.39,3800.0,984,2.0
36817,Noida,3.87,11000.0,3525,4.0
36819,Lucknow,49.0,4000.0,1225,2.0
36820,Ghaziabad,57.25,5000.0,1145,2.0
36821,Ghaziabad,2.06,8300.0,2485,3.0
36822,Greater Noida,53.12,4660.0,1140,2.0
36823,Greater Noida,47.31,3850.0,1229,2.0
36824,Greater Noida,78.75,4716.0,1670,3.0
36826,Greater Noida,71.89,4424.0,1625,3.0
36827,Ghaziabad,17.03,4518.0,377,1.0
36828,Ghaziabad,28.8,2400.0,1200,2.0
36829,Ghaziabad,98.0,4900.0,2000,3.0
36831,Greater Noida,51.89,4850.0,1070,2.0
36832,Greater Noida,78.72,4700.0,1675,3.0
36833,Greater Noida,67.7,4299.0,1575,3.0
36834,Greater Noida,76.21,5293.0,1440,3.0
36836,Greater Noida,37.39,3800.0,984,2.0
36837,Noida,3.87,11000.0,3525,4.0
36839,Lucknow,49.0,4000.0,1225,2.0
36840,Ghaziabad,57.25,5000.0,1145,2.0
36841,Ghaziabad,2.06,8300.0,2485,3.0
36842,Greater Noida,53.12,4660.0,1140,2.0
36843,Greater Noida,47.31,3850.0,1229,2.0
36844,Greater Noida,78.75,4716.0,1670,3.0
36846,Greater Noida,71.89,4424.0,1625,3.0
36847,Ghaziabad,17.03,4518.0,377,1.0
36848,Ghaziabad,28.8,2400.0,1200,2.0
36849,Ghaziabad,98.0,4900.0,2000,3.0
36851,Greater Noida,51.89,4850.0,1070,2.0
36852,Greater Noida,78.72,4700.0,1675,3.0
36853,Greater Noida,67.7,4299.0,1575,3.0
36854,Greater Noida,76.21,5293.0,1440,3.0
36856,Greater Noida,37.39,3800.0,984,2.0
36857,Noida,3.87,11000.0,3525,4.0
36859,Lucknow,49.0,4000.0,1225,2.0
36860,Ghaziabad,57.25,5000.0,1145,2.0
36861,Ghaziabad,2.06,8300.0,2485,3.0
36862,Greater Noida,53.12,4660.0,1140,2.0
36863,Greater Noida,47.31,3850.0,1229,2.0
36864,Greater Noida,78.75,4716.0,1670,3.0
36866,Greater Noida,71.89,4424.0,1625,3.0
36867,Ghaziabad,17.03,4518.0,377,1.0
36868,Ghaziabad,28.8,2400.0,1200,2.0
36869,Ghaziabad,98.0,4900.0,2000,3.0
36871,Greater Noida,51.89,4850.0,1070,2.0
36872,Greater Noida,78.72,4700.0,1675,3.0
36873,Greater Noida,67.7,4299.0,1575,3.0
36874,Greater Noida,76.21,5293.0,1440,3.0
36876,Greater Noida,37.39,3800.0,984,2.0
36877,Noida,3.87,11000.0,3525,4.0
36879,Lucknow,49.0,4000.0,1225,2.0
